贴吧名,帖子标题,ID,内容,发布时间
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"亚冠失利后，卡纳瓦罗被恒大“架空”。
恒大和卡纳瓦罗彼此之间还处在“离婚冷静期”，坊间就已经传出恒大下赛季将签下一位有国字号主帅经验的土帅。
随后前国足代理主帅傅博的名字浮出水面，不过在恒大将要力捧郑智的大背景下，傅博对于恒大和郑智来说，恐怕角色有点类似于有职业级证书，符合中超主帅标准的助理教练。",2020-12-09 16:57
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"当然，想要最终将郑智和傅博组合推向前台，还需要处理完和现任主帅卡纳瓦罗的合同解约问题。
尽管这几天在相关媒体的描述中，卡纳瓦罗的执教能力和五年前那个菜鸟主帅没什么两样，但造成本赛季最终双线失守的结果，难道不正是恒大俱乐部比起五年前的退化吗？",2020-12-09 16:58
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,alikong021,这个比较客观。,2020-12-09 17:03
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,jay1880,"现在始终不相信恒大会用国内教练，等新主帅来了之后，、
一切都会恢复原状！",2020-12-09 17:32
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"卡纳瓦罗和恒大将彻底缘尽？
卡纳瓦罗遭遇密集“炮轰”
恒大亚冠小组赛出局后，不少媒体几乎对卡纳瓦罗用上了最猛烈的炮火。
《羊城晚报》认为里皮和斯科拉里建立的豪门气质，在卡帅手中已被消耗殆尽，“中超八冠王走向平庸，卡帅‘大哥式’的执教方式看起来已不再适用。”
同时，该媒体还列出了卡纳瓦罗的四大罪状——执教成绩历任最差、球队没有形成整体、排兵布阵刚愎自用、年轻球员培养不力。
《新快报》则认为，“狼性血拼”是里皮、斯科拉里等名帅倾注心血为恒大塑造的灵魂，但在卡帅治下，球队却完全是一副厌战情绪，毫无王者风范。而他自做减法、强度极大的训练方式也直接导致恒大失去了竞争力。",2020-12-09 17:51
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"卡纳瓦罗和恒大将彻底缘尽？
卡纳瓦罗遭遇密集“炮轰”
恒大亚冠小组赛出局后，不少媒体几乎对卡纳瓦罗用上了最猛烈的炮火。
《羊城晚报》认为里皮和斯科拉里建立的豪门气质，在卡帅手中已被消耗殆尽，“中超八冠王走向平庸，卡帅‘大哥式’的执教方式看起来已不再适用。”
同时，该媒体还列出了卡纳瓦罗的四大罪状——执教成绩历任最差、球队没有形成整体、排兵布阵刚愎自用、年轻球员培养不力。
《新快报》则认为，“狼性血拼”是里皮、斯科拉里等名帅倾注心血为恒大塑造的灵魂，但在卡帅治下，球队却完全是一副厌战情绪，毫无王者风范。而他自做减法、强度极大的训练方式也直接导致恒大失去了竞争力。",2020-12-09 17:51
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"卡帅的笑容一直是这几年恒大的标志。
而早在被淘汰前三天打平水原的比赛后，《广州日报》就已经开始质疑：为何卡帅在背水一战排出的首发阵容如此保守？张修维真的能堪大用？为何用杨立瑜顶替最具杀伤力的费南多首发？卡帅毕竟是后卫出身，他在进攻调教方面难以令人信服。
集中“甩锅”主帅，熟悉中国足球的老江湖们不可能看不懂是什么路数，有网友很隐晦地指出：“媒体对卡纳瓦罗的‘围剿’还在继续。”这其中深意，想必也不难读懂。
相对而言，《石家庄日报》的评论更显客观：“今年恒大阵容并没有明显提升，外援年龄结构偏大并且大多状态不佳。再加上归化球员表现低迷，头号核心保利尼奥又因伤无缘亚冠，小组赛出局并非不可接受。”
“诚然卡纳瓦罗一直也并未展现出更高的执教水准，但俱乐部将全部责任都甩锅给主教练的做法，也显得有失公允。”",2020-12-09 17:51
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"恒大俱乐部给了卡帅多少支持？
主教练负责制？卡纳瓦罗能负什么责？
早在亚冠小组赛被淘汰当晚，恒大俱乐部就发出两条公告，其中第一条内容为：经研究决定，即日起，俱乐部管理模式由董事长领导下的主教练负责制正式调整为董事长领导下的总经理负责制。
球队成绩不好，主教练自然是第一责任人，大多数情况下应该如此，但很多事情又不是这样——比如说，1997年10强赛中国队最终被淘汰后，主教练戚务生说了一句意味深长的话，“我只负我该负的责任”。
就拿恒大和卡纳瓦罗来说，一直以来恒大都是主教练负责制，从李章洙、里皮到斯科拉里莫不如此。",2020-12-09 17:51
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"最极端的一个例子是，里皮刚来第一年恰逢曼联来中国打热身赛，本来曼联安排了和恒大的比赛，但里皮认为密集赛程下球员不应该打热身赛，直接取消了比赛。
从卡纳瓦罗第二次执教恒大开始，一切发生了变化。
2018年年初，一贯大手大脚花钱的恒大因为政策原因放弃引进奥巴梅杨和纳英戈兰，而给了卡纳瓦罗被泰达放弃的古德利，这直接导致恒大上半程挖坑太大，世界杯后签下“宝塔组合”也未能完成翻盘。
丢冠军的锅扔给卡纳瓦罗，道理说不通。
2019年，恒大迎合“大国家队概念”，虽然借此签下了韦世豪、高准翼、何超、张修维等优质年轻球员，但俱乐部也付出了第一阶段只能上两外援的代价。这期间，卡纳瓦罗还在中国杯期间“不伦不类”当了国足主教练……",2020-12-09 17:52
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"而从2019年夏天到2020年年初，恒大又专注于操作无血缘归化球员，并签下了洛国富这样完全不符合恒大标准的外援。
说实话，能够去年一边换血一边重新夺回联赛冠军，卡纳瓦罗绝对算是恒大的头号功臣。
通俗理解上，比赛和引援是主教练最需要负责的领域，但至少在引援上最近两年卡纳瓦罗根本说了不算。
比如说他一直想要一名中锋，结果眼睁睁看着阿瑙托维奇去了上港。比如说他几次呼吁左后卫要引援，结果恒大还自由身把温家放给了申花。
如果说从2010年李章洙开始到2017年斯科拉里为止，球队成绩滑坡第一责任人肯定是主教练的话，那么“二进宫”的卡纳瓦罗，绝对不应该是唯一的背锅人。",2020-12-09 17:53
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"恒大或将郑智“扶上”主帅岗位。
卡纳瓦罗下课，郑智才能“名正言顺”？
因为回国航线还没最终确定，卡纳瓦罗和他的球队还滞留多哈。
原本有消息称，卡纳瓦罗不会和大部队一起回到中国，而是回国休假。不过眼下恐怕意大利人需要改变行程了——进入“离婚冷静期”的双方，总还要最后做一个了断，是继续过下去还是彻底离婚。
按照广州媒体的说法，卡纳瓦罗下课的局面已经无法挽回，网友也表示，恒大是希望卡纳瓦罗主动提出辞职，这样可以省下一笔不菲的违约金。
卡纳瓦罗和恒大的合同还剩下两年，税后年薪1200万欧元，算上税，如果解约恒大要支付约3亿元人民币。
五年前打完天津泰达后，恒大管理层在体育场的办公室内只花了半小时，就和卡纳瓦罗谈妥了解约全部事宜。而从去年让卡纳瓦罗去集团“上课”到如今总经理负责制，恒大迟迟无法痛快让意大利人下课，恐怕是卡纳瓦罗的违约金让俱乐部感到了“肉痛”。
当然，站在卡纳瓦罗自己的角度，他也完全可以选择不主动辞职——现在这个时代，卡纳瓦罗绝不可能再找到一份如此高薪的合同。
目前，恒大只有在处理完卡纳瓦罗的解约合同后才能扶正郑智——恒大一直希望为中国足球培养一位优秀本土主帅，郑智看上去是最合适的人选，恒大也一直在为教练郑智造势。",2020-12-09 17:53
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,weareyylh,"傅博或进入恒大教练组。
不过需要说明的是，郑智还不具备担任中超球队主教练的资格——中国足协规定中超主帅需要有亚足联职业级证书或者其他洲际足联同等证书。如果郑智走向前台，恒大就还需要为其配备一名可以符合规定的主帅人选。
这也是8日传出一位有国字号经验的土帅将在下赛季签约恒大消息的原因。有意思的是，消息传出后资深媒体人白国华确认，这名土帅是傅博——因为郑智点名希望傅博进入他的团队。
有主帅资格的人只是进入团队，这层意思不言自明。",2020-12-09 17:54
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,哦豁呵,真系要土炮吾要洋枪,2020-12-09 18:00
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,渔夫之佬,唔系话郑队唔得，冒的风险大些。,2020-12-09 18:08
广州fc吧,卡纳瓦罗和恒大进入离婚冷静期赛季失败卡帅不该负责,百度用户8280958082,http://8669.7eaFGEvU.nDml.t1eba.fun/pH91ZuV6xOa3FLGYO8sR0nbA0Ze3aJA0o335nRC,2020-12-09 18:34
